project_name,year,PRCPTOT,RX1day,RX5day,RX7day,SDII,R10mm,R20mm,R25mm,R30mm,R100mm,CDD,CWD,R95p,R99p
dehar,1967,1377.8662478923798,50.3406982421875,148.7018642425537,177.5618495941162,10.518062961010532,55,18,10,4,0,48,87,245.82761001586914,50.3406982421875
dehar,1968,991.7071380615234,45.342586517333984,112.13662052154541,138.92430305480957,8.333673429088432,34,14,5,2,0,40,27,129.02911376953125,0.0
dehar,1969,993.7559642791748,44.15178298950195,118.38353109359741,155.4902663230896,8.01416100225141,34,12,7,3,0,80,22,138.5389919281006,0.0
dehar,1970,1331.8540647029877,42.60286712646485,130.46373081207275,147.72089195251465,9.651116410891214,48,15,8,5,0,95,52,247.13699913024902,0.0
dehar,1971,1498.0127791166306,63.88682174682617,230.94284057617188,249.96130561828613,10.85516506606254,46,20,15,9,0,58,38,555.2139511108398,238.25233840942383
dehar,1972,769.657044172287,33.28793716430664,120.26454544067383,142.72253227233887,5.8307351831233865,26,4,2,1,0,35,28,61.982866287231445,0.0
dehar,1973,1083.8560382127762,38.84342956542969,107.62932968139648,129.1411895751953,6.774100238829851,30,6,3,1,0,45,29,65.46902465820312,0.0
dehar,1974,762.0640180110931,31.995651245117188,89.6861457824707,108.67697858810425,5.817282580237352,20,5,3,1,0,58,19,59.386653900146484,0.0
dehar,1975,930.8436853885651,33.250770568847656,79.00544261932373,109.47336101531982,7.3876482967346435,33,5,1,1,0,67,21,33.250770568847656,0.0
dehar,1976,1132.4149936437607,68.068359375,133.91821765899658,202.7998514175415,8.450858161520602,38,8,6,5,0,84,26,255.6674690246582,117.12549209594727
dehar,1977,1160.417801976204,48.4615478515625,95.18959522247314,127.58636283874512,8.002881392939337,45,10,5,3,0,66,46,169.29454040527344,48.4615478515625
dhauli ganga,1996,1688.888222336769,68.63510131835938,166.88289260864258,195.53085899353027,14.192338002829992,66,26,15,12,0,87,18,181.32929611206055,0.0
dhauli ganga,1997,1068.9437005519867,56.364479064941406,99.7215735912323,99.7215735912323,7.918101485570272,39,7,4,3,0,31,32,56.364479064941406,0.0
dhauli ganga,1998,1839.2029116153717,72.81367492675781,152.2558765411377,180.8130645751953,11.495018197596073,74,30,17,5,0,42,37,123.90367889404297,0.0
dhauli ganga,1999,1971.664166688919,64.27536010742188,164.9516191482544,188.9983434677124,12.886693899927575,73,36,24,13,0,60,46,121.94256973266602,0.0
dhauli ganga,2000,3312.284890651703,112.12591552734376,278.0051860809326,360.093692779541,19.37008707983452,104,57,42,35,1,31,39,981.3896942138672,210.6998748779297
dhauli ganga,2001,3647.4426995515823,146.17236328125,416.2953071594238,523.4641628265381,22.65492359969927,101,68,46,36,3,50,36,1592.3496437072754,730.8033142089844
dhauli ganga,2002,3275.033288359642,82.99398040771484,222.29816436767578,291.6661319732666,20.09222876294259,91,59,49,39,0,40,22,1190.0555534362793,165.47900390625
